,Nombre visible Agente,AGENTE (OFEI),"CENTRAL (dDEC, dSEGDES, dPRU…)","Tipo de central (Hidro, Termo, Filo, Menor)",Hora_1,Hora_2,Hora_3,Hora_4,Hora_5,Hora_6,Hora_7,Hora_8,Hora_9,Hora_10,Hora_11,Hora_12,Hora_13,Hora_14,Hora_15,Hora_16,Hora_17,Hora_18,Hora_19,Hora_20,Hora_21,Hora_22,Hora_23,Hora_24,Total_Horas
0,EMGESA,EMGESA S.A.,BETANIA,H,364,364,364,364,364,364,364,364,364,364,364,364,364,364,364,364,364,364,364,364,364,364,364,364,8736
1,EMGESA,EMGESA S.A.,BETANIA,H,364,364,364,364,364,364,364,364,364,364,364,364,364,364,364,364,364,364,364,364,364,364,364,364,8736
2,EMGESA,EMGESA S.A.,BETANIA,H,364,364,364,364,364,364,364,364,364,364,364,364,364,364,364,364,364,364,364,364,364,364,364,364,8736
6,EMGESA,EMGESA S.A.,ELQUIMBO,H,85,85,85,85,85,85,85,85,85,85,85,85,85,85,85,85,85,85,85,85,85,85,85,85,2040
7,EMGESA,EMGESA S.A.,ELQUIMBO,H,85,85,85,85,85,85,85,85,85,85,85,85,85,85,85,85,85,85,85,85,85,85,85,85,2040
8,EMGESA,EMGESA S.A.,GUAVIO,H,0,0,0,0,0,0,0,0,0,146,120,180,180,180,180,180,120,120,997,1002,780,140,0,0,4325
9,EMGESA,EMGESA S.A.,GUAVIO,H,0,0,0,0,0,0,0,0,0,146,120,180,180,180,180,180,120,120,997,1002,780,140,0,0,4325
10,EMGESA,EMGESA S.A.,GUAVIO,H,0,0,0,0,0,0,0,0,0,146,120,180,180,180,180,180,120,120,997,1002,780,140,0,0,4325
11,EMGESA,EMGESA S.A.,GUAVIO,H,0,0,0,0,0,0,0,0,0,146,120,180,180,180,180,180,120,120,997,1002,780,140,0,0,4325
12,EMGESA,EMGESA S.A.,GUAVIO,H,0,0,0,0,0,0,0,0,0,146,120,180,180,180,180,180,120,120,997,1002,780,140,0,0,4325
13,EMGESA,EMGESA S.A.,PAGUA,H,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,14400
14,EMGESA,EMGESA S.A.,PAGUA,H,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,14400
15,EMGESA,EMGESA S.A.,PAGUA,H,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,14400
16,EMGESA,EMGESA S.A.,PAGUA,H,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,14400
17,EMGESA,EMGESA S.A.,PAGUA,H,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,14400
18,EMGESA,EMGESA S.A.,PAGUA,H,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,14400
